,broker,count,bamount,bcount,samount,scount,top3
656,申万宏源证券有限公司上海徐汇区龙漕路证券营业部,2,324.27,1,231.89,1,"创源文化,乐心医疗"
657,海通证券股份有限公司江都龙川南路证券营业部,1,282.6,1,0.0,0,创源文化
658,方正证券股份有限公司三河燕郊汉王路证券营业部,1,0.0,0,353.28,1,创源文化
659,宏信证券有限责任公司西安唐延路证券营业部,2,34.97,2,0.0,0,国芳集团
660,中信证券股份有限公司杭州狮山路证券营业部,1,0.0,0,0.5,1,国芳集团
661,中信证券股份有限公司深圳深南大道证券营业部,1,0.0,0,0.5,1,国芳集团
662,中国中投证券有限责任公司济宁环城西路证券营业部,1,11775.7,1,0.0,0,江淮汽车
663,兴业证券股份有限公司厦门湖滨南路证券营业部,1,4505.31,1,0.0,0,江淮汽车
664,申万宏源西部证券有限公司济南文化西路证券营业部,2,5216.12,2,0.0,0,"江淮汽车,开立医疗"
665,长江证券股份有限公司深圳福华一路证券营业部,3,2760.68,1,586.09,2,"江淮汽车,威唐工业,海马汽车"
666,中泰证券股份有限公司上海西安路证券营业部,1,0.0,0,3604.47,1,江淮汽车
667,国泰君安证券股份有限公司襄阳襄城西街证券营业部,1,0.0,0,2667.28,1,江淮汽车
668,国泰君安证券股份有限公司北京知春路证券营业部,2,0.0,0,2223.81,2,"辰欣药业,江淮汽车"
669,兴业证券股份有限公司上海民生路证券营业部,2,1302.74,1,2040.48,1,"新华都,江淮汽车"
670,长江证券股份有限公司成都光华村街证券营业部,2,5651.53,2,0.0,0,"方大炭素,广东骏亚"
671,海通证券股份有限公司常州健身路营业部,2,1300.21,2,0.0,0,广东骏亚
672,华泰证券股份有限公司绍兴府山证券营业部,1,0.0,0,378.9,1,广东骏亚
673,申万宏源西部证券有限公司武汉武大园一路证券营业部,1,2923.05,1,0.0,0,氯碱化工
674,东海证券股份有限公司长沙韶山北路证券营业部,1,2169.37,1,0.0,0,台华新材
675,国金证券股份有限公司成都蒲江县桫椤路证券营业部,1,1128.13,1,0.0,0,台华新材
676,光大证券股份有限公司资产管理总部,1,1031.05,1,0.0,0,氯碱化工
677,方正证券股份有限公司厦门厦禾路证券营业部,2,894.99,1,617.47,1,"台华新材,恒银金融"
