code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
2184,海得控制,0.01,-74.89,,0.25,,273.78,-73.0,,07-29,0.33,19.5886,829.3336,3.4154,1.0509,171.2818,1.8247,98.6464,0.4975,361.809,7.9331,-49.905,0.5015,13.3865,-74.8899,-1.2711
2186,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,飞马国际,0.08,-27.27,,3.49,,14000.31,26.75,,07-28,0.36,0.8628,38202.2698,39.2913,13.9333,12.9187,84.9139,2.1198,2.2147,81.2751,99.2281,26.4492,68.9181,9.333,-27.2727,65.7461
2211,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,天宝股份,0.16,0.0,,3.22,,8653.02,1.27,,08-09,13.96,22.6164,619.7414,1.1319,0.6414,280.6361,1.906,94.4386,0.2469,729.0401,-3.5824,1.2635,5.9773,8.2317,0.0,5.9788
2224,三力士,0.13,-13.33,,5.3,,8501.98,-13.82,,07-26,20.46,39.4053,415.3633,0.6311,5.0673,35.5219,1.4001,128.5622,0.3669,490.5969,5.0912,-13.7725,9.5785,9.4528,-13.3333,9.9086
2233,塔牌集团,0.35,182.05,,6.55,,31062.83,182.09,,08-08,15.75,27.7992,1971.6771,2.2038,16.5363,10.8851,3.825,47.0588,0.8738,205.9968,28.9704,181.9783,11.054,12.1876,182.0471,11.0739
2236,大华股份,0.34,36.0,,11.29,,98300.12,38.5,,08-07,13.16,39.4475,7464.6649,2.5745,1.1362,158.4228,1.8262,98.5653,0.5506,326.9161,50.809,37.9313,25.8479,43.0326,36.0,27.5327
2240,威华股份,0.02,-112.23,,0.55,,777.87,-112.21,,07-27,0.89,7.9299,872.669,1.7784,5.7125,31.5098,1.4758,121.9677,0.8951,201.0948,50.8837,,16.1292,4.2723,-112.2308,7.672000000000001
2241,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,,,,,,,,,,,9.95,23.2285,1488.6455,1.5078,1.8391,97.874,2.1366,84.24600000000001,0.5353,336.26,112.9767,98.0205,42.0436,42.891999999999996,65.3217,21.7842
2249,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,海陆重工,0.08,62.69,,1.98,,4628.9,61.65,,07-26,10.01,28.8835,461.9873,0.7443,0.7069,254.6329,0.4729,380.6302,0.2078,866.2175,6.4065,37.1999,5.0327,3.4454,62.6898,4.1627
2262,恩华药业,0.21,-23.95,,9.56,,20917.15,21.66,,07-29,12.46,50.0485,1678.0579,1.6628,2.2635,79.5229,2.5317,71.0985,0.8043,223.7971,10.785,17.6097,15.5333,14.4175,-23.9545,15.7927
2267,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,,,,,,,,,,,,,,,,,,,,,,,,,,
2277,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,,,,,,,,,,,,,,,,,,,,,,,,,,
2284,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,超华科技,0.03,912.12,,1.84,,3112.31,912.19,,07-26,4.96,15.6416,626.2759,0.6722,1.3027,138.1746,1.2683,141.9223,0.4911,366.5241,48.4046,912.1913,-2.0045,12.1357,912.1212,-2.0045
2296,辉煌科技,0.07,-35.69,,1.61,,2496.85,-35.68,,08-05,11.55,43.3,216.0076,0.5734,0.4304,418.2156,0.7136,252.2422,0.141,1276.5957,4.9271,-32.3015,7.0923,2.6077,-35.6935,5.7082
2297,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,圣农发展,0.02,-92.72,,0.31,,1787.56,-92.73,,07-25,0.41,5.0512,4327.1612,3.8951,13.1743,13.663,2.8088,64.0843,1.7081,105.3802,10.2605,-109.1538,-2.35,4.754,-92.7215,-1.9107
2301,齐心集团,0.2,66.67,,6.3,,8028.21,72.06,,07-28,5.98,20.0089,1340.6223,3.1332,3.6423,49.4193,4.6554,38.6648,0.5923,303.9001,30.5547,73.3611,101.5841,35.004,66.6667,102.8288
2302,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,日海通讯,0.09,-190.0,,0.89,,2870.96,-187.94,,08-05,2.82,22.0054,1016.9159,3.2593,0.9675,186.0465,0.5435,331.1868,0.3142,572.8835,-5.162000000000001,,-9.8122,-5.2948,-190.0,0.6598
2318,久立特材,0.08,14.29,,2.53,,6672.03,6.54,,08-08,4.85,20.7979,1374.388,1.6332,2.5857,69.6136,1.225,146.9388,0.6957,258.7322,4.4357,7.2174,5.5732,3.1855,14.2857,4.7932
2321,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,,,,,,,,,,,,,,,,,,,,,,,,,,
2331,皖通科技,0.09,11.39,,2.48,,3218.91,11.33,,08-08,6.66,21.7726,483.1446,1.3791,1.8922,95.1274,1.3607,132.2849,0.3549,507.1851,-0.794,9.2511,4.9239,2.5166,11.3939,5.0348
2333,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,新纶科技,0.15,31.25,,2.25,,7395.1,76.82,,08-08,8.18,26.15,903.3017,1.795,0.8647,208.1647,1.7668,101.8791,0.2693,668.3996,57.3867,96.1542,111.5458,60.2831,31.25,118.9497
2342,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,精华制药,0.11,-40.41,,4.45,,9632.05,19.16,,07-31,16.54,49.9484,582.0782,0.6924,3.1425,57.2792,0.8771,205.2218,0.6216,289.5753,36.0829,30.7705,7.9816,11.5323,-40.4056,5.401
2355,兴民智通,0.08,60.0,,1.88,,4000.39,42.73,,08-05,4.7,21.4468,849.8299,1.6543,2.1508,83.6898,0.6862,262.3142,0.3937,457.2009,41.2846,41.6781,4.0607,22.99,60.0,2.7038
2360,同德化工,0.09,12.5,,3.44,,3386.51,10.2,,08-01,12.61,41.8063,268.4472,0.6856,3.7215,48.3676,2.8310000000000004,63.5818,0.4884,368.5504,18.2454,2.3722,-3.3685,-6.5904,12.5,0.7329
2362,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,伟星新材,0.31,0.0,,11.28,,31225.88,26.67,,08-05,19.59,44.9694,1593.7215,1.5804,8.6165,20.8902,1.8242,98.6734,0.769,234.0702,20.468,26.5908,16.9626,17.331,0.0,16.4271
2375,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,科远股份,0.21,23.53,,2.48,,4933.25,30.88,,07-28,20.78,41.9795,237.398,0.9891,0.5725,314.4105,0.9451,190.456,0.1303,1381.4275,23.2858,29.3018,3.6905,5.2002,23.5294,3.5810000000000004
2383,,,,,,,,,,,7.9,47.4492,636.3632,0.8679,1.0122,177.8305,0.6968,258.3238,0.2482,725.2216,90.9053,2593.9842,91.5729,106.9842,294.2529,92.1579
2386,天原集团,0.04,-140.0,,0.64,,2620.59,-140.39,,07-25,0.44,6.7025,5919.1198,8.8124,26.0255,6.9163,10.4773,17.18,1.4071,127.9227,2.6668,,2.2997,7.1157,-140.0,3.1813
2387,黑牛食品,-0.21,159.65,,-13.89,,-9788.55,159.54,,07-25,-798.64,17.2261,12.2565,0.0261,5.1138,35.1989,,,0.0142,12676.0563,-89.1162,,-4.9287,333.2852,159.6513,-4.9287
2391,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,省广股份,0.11,-50.0,,3.59,,18981.77,-26.62,,08-08,4.24,14.9523,4473.2135,2.5658,1.5861,113.4859,1786.6852,0.1007,0.6604,272.5621,0.9121,-24.6887,93.6082,16.855,-50.0,101.6231
2401,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,和而泰,0.12,-33.33,,9.12,,10195.99,70.29,,07-28,11.05,22.9164,922.6643,1.111,2.1795,82.5877,2.6076,69.029,0.7701,233.7359,49.8463,72.9718,15.1724,22.0918,-33.3333,14.181
2406,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,海康威视,0.36,-16.98,,12.98,,329154.61,26.27,,07-22,20.01,42.7228,16447.5397,1.7821,1.3401,134.3183,2.1506,83.6976,0.4529,397.4387,31.0749,25.5049,26.4927,29.9346,-16.9767,25.8355
2421,达实智能,0.05,-58.31,,3.63,,10355.98,30.33,,08-03,8.96,26.6736,1155.2748,0.5996,0.6912,260.4167,2.9947,60.1062,0.3578,503.0743,16.3706,19.3575,10.4671,14.6828,-58.3077,10.3822
2427,尤夫股份,0.31,82.35,,5.42,,12283.59,84.1,,08-01,6.2,26.5471,1980.263,4.9736,2.1472,83.8301,4.4667,40.2982,0.5813,309.6508,95.3639,145.1409,27.8777,123.8473,82.3529,8.8185
