code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
300438,鹏辉能源,1.13,17.71,12.61,8728.83,44.89,9.93,23.9209,878.7357,10.4611,2.6452,136.0956,3.2428,111.0152,1.1664,308.642,25.4377,43.8524,79.1501,70.3565,17.7083,78.7351
300439,美康生物,0.52,-67.9,16.63,16126.75,17.13,23.6,58.7176,683.1412,2.0091,3.5216,102.2263,2.9627,121.5108,0.8669,415.2728,14.2665,16.5744,210.1281,132.8853,-67.9012,211.2259
300440,运达科技,1.25,-3.83,13.6,12835.78,17.83,27.91,53.3132,459.8854,4.1061,1.2885,279.3946,1.0567,340.6833,0.4283,840.5323,26.6557,17.7055,125.0817,104.4757,-3.8308,125.304
300441,鲍斯股份,0.19,-70.31,8.13,3126.25,-22.91,12.15,28.4232,257.2256,1.5224,4.7376,75.9878,1.5457,232.9042,1.0181,353.5998,4.1552,-23.1241,75.7855,25.895,-70.3125,76.067
300442,普丽盛,0.55,-54.55,6.22,5006.53,-44.88,,,,,2.2096,162.9254,1.5933,225.9461,0.7927,454.1441,-7.046,-44.88399999999999,98.0077,61.4391,-54.5455,94.4007
300443,金雷风电,2.77,36.45,20.29,14526.77,58.79,21.97,34.2424,661.2041,11.7526,3.7428,96.1847,2.9111,123.6646,1.1576,310.9883,45.3737,58.791000000000004,113.8731,65.4554,36.4532,113.8731
300444,,,,,,,13.63,38.150999999999996,661.0633,2.3326,1.672,215.31099999999998,4.6698,77.0911,0.8473,424.879,21.3136,21.4258,106.4923,72.1322,-46.4306,106.4923
300445,康斯特,0.55,-52.08,14.27,4266.6,22.46,26.25,70.7268,162.5236,1.9917,4.8579,74.1061,1.7469999999999999,206.0675,0.7913,454.9476,15.3649,22.464000000000002,112.1193,63.1308,-52.0773,112.1193
300446,乐凯新材,1.75,4.79,28.49,9871.9,28.38,40.89,63.9795,241.4008,3.9316,4.2313,85.0802,2.6543,135.629,0.9451,380.9121,14.6592,28.3849,75.2234,43.3442,4.7904,75.2234
300447,,,,,,,28.56,59.0238,251.2635,3.102,4.0482,88.9284,0.7948,452.9441,0.6381,564.1749,22.4625,45.9565,103.4315,103.374,19.2303,102.3835
