code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,earnings,fluctuate
601515,,,,,,,26.65,43.4314,757.2934,0.6809999999999999,0.8059,111.6764,0.4875,184.6154,0.2434,369.7617,12.7778,-2.3575,-3.3441,18.2169,0.0,-2.7969,-0.0,10.0
601518,吉林高速,0.04,33.33,1.82,4872.95,29.54,28.44,70.4808,171.3387,0.1412,,,119.9032,0.7506,0.1519,592.4951,12.3322,16.257,5.4143,10.2261,33.3333,6.3154,0.0,10.0
601519,,,,,,,-52.78,50.9381,144.96,0.0729,1.9134,47.0367,284.4089,0.3164,0.1997,450.676,22.7822,,-64.9092,-45.9952,-55.2941,-64.9522,-20.0,40.0
601555,东吴证券,0.1,-16.67,1.52,31010.33,-9.4,31.71,42.4043,977.7461,0.3259,,,,,,,,-9.848,3.9365,11.1355,-16.6667,3.5788,-0.0,10.0
601558,*ST锐电,-0.02,-50.0,-13.18,-14635.58,-37.36,-2393.99,28.8861,6.1134,0.001,0.0015,60000.0,0.0027,33333.3333,0.0008,112500.0,-92.9862,,-74.2616,-31.9894,-50.0,-74.2616,-20.0,40.0
601566,,,,,,,23.96,57.7299,664.091,1.1556,4.7891,18.7927,0.4089,220.1027,0.2075,433.7349,13.5968,23.8696,5.3658,2.6423,27.2727,5.4047,-10.0,20.0
601567,三星医疗,0.07,16.67,1.41,9722.49,43.7,10.5,30.8116,925.9177,0.6526,0.6699,134.3484,1.1173,80.5513,0.1464,614.7541,16.6834,51.7596,121.6135,38.4752,16.6667,123.4144,-0.0,10.0
601579,会稽山,0.17,11.33,2.81,8266.47,41.2,22.04,49.8639,374.909,0.7537,3.5606,25.2766,0.1834,490.7306,0.1972,456.3895,40.4438,41.2717,89.7461,48.4307,11.3333,91.0784,-0.0,10.0
601588,,,,,,,9.82,31.9724,3036.1476,0.9017,29.6358,3.0369,0.0476,1890.7563,0.0527,1707.7799,17.7468,58.1445,4.0627,40.822,80.0,4.4519,0.0,20.0
601595,上海电影,0.13,-43.48,2.44,4762.09,-26.88,18.88,26.8172,252.201,0.6752,0.9858,91.2964,19.1437,4.7013,0.1379,652.6468,-7.8973,-29.9878,,,-43.4783,,-20.0,30.0
601599,鹿港文化,0.01,-50.0,0.34,908.91,20.33,1.41,13.7712,644.1326,0.7204,0.8027,112.1216,0.4747,189.5934,0.1945,462.7249,36.5718,98.6324,4.9086,24.6402,-50.0,4.8579,-30.0,40.0
601600,中国铝业,0.02,2300.0,1.02,39076.4,1935.44,0.95,7.7184,40909.46,2.7449,8.8281,10.1947,1.9274,46.695,0.6083,147.9533,95.9754,1579.2414,11.68,3.0021,2300.0,-0.6993,20.0,40.0
601601,中国太保,0.22,-8.33,1.5,200000.0,-9.05,1.84,2.6291,108402.0,11.9622,,,,,,,,-9.293,0.7533,15.3491,-8.3333,0.2553,30.0,30.0
601607,,,,,,,3.01,12.3812,33129.4881,12.3207,1.1383,79.0653,1.8198,49.456,0.5279,170.4868,13.164,3.3876,8.1952,14.2124,12.364,5.8578,10.0,20.0
601608,中信重工,-0.0,-141.67,-0.03,-231.58,-144.77,-0.21,19.8695,1096.7604,0.2527,0.3878,232.0784,0.2296,391.9861,0.0983,915.5646,4.1426,-49.4952,-18.4405,-4.6732,-141.6667,-18.8583,,
601611,,,,,,,1.37,8.395,8008.2261,3.0507,0.5428,165.8069,0.2927,307.4821,0.1467,613.4969,4.9243,27.0042,,,0.0,,-30.0,40.0
601616,,,,,,,1.03,24.8069,140.9932,0.1507,0.3028,297.2259,0.5591,160.97299999999996,0.0823,1093.5601,-16.0824,,-5.6246,-7.6795,-110.5263,-5.6508,-20.0,30.0
601618,中国中冶,0.07,0.0,2.35,144173.8,5.61,3.26,11.9758,44180.003,2.1318,0.6306,142.7212,0.3104,289.9485,0.1437,626.3048,3.7708,7.1682,23.2345,13.2445,0.0,24.0627,0.0,10.0
601628,,,,,,,2.26,2.7807,271728.0,9.6136,,,,,,,,17.1327,-1.6076,10.3002,16.6667,-1.7305,10.0,20.0
601633,长城汽车,0.21,-18.42,4.05,195468.82,-18.42,8.42,21.7373,23198.6705,2.5416,41.3102,2.1786,2.775,32.4324,0.4346,207.087,11.2944,-18.2945,20.9471,27.6215,-18.4215,20.9627,0.0,20.0
601636,旗滨集团,0.09,618.32,3.98,24547.87,644.37,15.01,33.7971,1634.9683,0.6268,197.0962,0.4566,0.8778,102.529,0.6747,133.3926,33.1532,641.7522,22.0899,-7.8559,618.3206,22.1158,30.0,40.0
601666,平煤股份,0.13,7800.0,2.87,31711.59,7962.83,5.97,19.1874,5307.3828,2.2477,3.7893,23.7511,3.1367,28.6926,0.422,213.2701,102.9566,3604.6211,20.1381,6.7466,7800.0,18.7098,40.0,50.0
601668,,,,,,,3.01,8.9367,234827.342,7.8275,1.7241,52.2011,0.4146,217.0767,0.2141,420.3643,9.6999,10.2578,21.5693,26.9652,14.2857,13.1359,10.0,20.0
601669,中国电建,0.12,5.44,3.02,170593.57,5.5,3.21,12.5204,53062.6671,3.8578,1.3478,66.7755,0.4086,220.2643,0.1869,481.5409,8.6659,12.699000000000002,18.4386,21.9416,5.4422,10.8998,0.0,20.0
601677,明泰铝业,0.15,36.36,1.89,7327.34,44.57,3.45,8.3703,2120.9422,4.132,4.2347,21.253,1.9614,45.8856,0.5803,155.0922,47.0205,34.9983,7.3479,11.879,36.3636,7.3468,10.0,20.0
601678,滨化股份,0.15,200.0,3.47,17614.57,233.62,11.03,24.5394,1595.6054,1.3431,10.4302,8.6288,5.6434,15.9478,1.0492,85.7796,55.519,267.3974,8.325,1.1815,200.0,8.1759,30.0,40.0
601688,华泰证券,0.19,6.72,1.56,133016.27,6.71,35.14,47.7735,3784.4227,0.5283,,,,,,,,5.6745,7.9552,-9.37,6.7241,7.3136,10.0,20.0
601689,拓普集团,0.27,42.11,4.99,17263.73,37.34,14.8,30.1232,1166.425,1.7969,0.9947,90.4795,0.877,102.6226,0.4113,218.8184,47.7215,38.135,7.9685,28.3017,42.1053,8.0042,-10.0,20.0
601699,潞安环能,0.17,1600.0,2.72,50939.62,2307.85,11.31,38.4183,4502.7289,1.5052,1.1197,80.3787,2.0701,43.4762,0.1914,470.2194,82.6615,,5.0561,13.9855,1600.0,5.7536,20.0,50.0
601700,,,,,,,10.92,24.0159,497.2925,0.4388,0.4989,180.3969,0.3403,264.4725,0.1409,638.7509,-17.6435,25.8039,9.7649,24.8667,25.0,9.6738,-20.0,30.0
601717,郑煤机,0.04,300.0,0.71,7419.34,279.95,8.65,20.2559,857.6362,0.495,0.3859,233.221,0.7463,120.5949,0.0961,936.5245,-12.5761,526.604,10.6416,17.2336,300.0,11.0766,,
601718,,,,,,,4.69,8.0331,5924.7472,1.5361,3.8597,23.3179,1.5594,57.7145,0.4205,214.0309,6.4989,39.2023,8.6122,3.9837,40.0,9.0946,10.0,10.0
601727,上海电气,0.04,-1.09,1.07,48565.9,3.46,3.72,23.5037,13034.616000000002,0.9704,0.4801,187.4609,0.3674,244.9646,0.0973,924.9743,-13.4969,-9.1191,15.9707,11.4487,-1.0929,21.47,-10.0,30.0
601766,中国中车,0.04,-42.86,1.02,115198.8,-42.05,3.42,22.0793,33592.333,1.1705,0.4399,204.592,0.4418,203.7121,0.1506,597.6096,-16.7083,-38.7866,18.7593,8.0065,-42.8571,19.6825,-0.0,0.0
601777,,,,,,,1.66,12.169,3380.7539,2.6909,1.3193,68.218,1.1539,77.9964,0.2111,426.3382,27.4617,-48.2655,-3.0174,10.6815,-55.5556,-0.7334,-0.0,10.0
601788,光大证券,0.13,-16.57,1.25,58721.14,-1.59,33.92,31.6875,1731.0183,0.3754,,,,,,,,1.5761,18.0367,-7.0245,-16.5684,20.1144,0.0,10.0
601789,宁波建工,0.05,-49.15,2.13,5253.13,1.71,1.59,7.0453,3295.3381,3.3760000000000003,0.925,97.2973,0.7477,120.3691,0.2939,306.2266,-1.0729,0.3839,5.9878,3.8588,-49.1493,6.0667,10.0,20.0
601798,蓝科高新,-0.01,-266.67,-0.0,-160.61,-263.04,-1.91,35.5867,83.9907,0.2369,0.1178,764.0068,0.1451,620.2619,0.052000000000000005,1730.7692,-22.6508,-663.5002,-7.1884,10.8103,-266.6667,-7.4012,-20.0,20.0
601799,星宇股份,0.36,14.43,2.61,9919.15,31.86,10.28,21.0518,964.8195,3.4937,2.1402,42.0521,0.8216,109.5424,0.2161,416.4739,39.7534,31.7838,76.7076,62.2614,14.4313,77.3764,20.0,30.0
